Artist,Link,Total
The Midnight ,G7EPO9Rtyqw,10
Cannons ,zukaSaJ_zrs,3
Donbor ,hjcwGwYqsrM,2
SelloRekt / LA Dreams ,f30z2z73xrU,2
FM-84 ,Vmm-V0c68nE,2
Astral Throb ,GTLHEvoYMg8,1
Vyacheslav Anatolevich Koristov ,tN_buZLRmM4,1
Kalax ,C9W9d29qQqM,1
Kingswood ,nCdRs_hh8sc,1
Vaiteani ,XvYYxUyIX2I,1
Fleet Foxes ,dPLaDtvVdaU,5
Metronomy ,t9xEIz4gMDQ,47
Father John Misty ,FrP0rd0D3OE,1
Tessa Violet,oQyFFTh_YGc,12
Das Mörtal ,l9nDhGpVUbI,1
Daughter ,qyhlNNSOCeg,20
Flume ,RhYMKAIzyAc,2
Elvis Perkins ,0lNCHBzWDjw,1
Various Artists ,NdfWP-vREEs,6
Jonathan Bree ,Bt6A7IJtteI,1
SeafretVEVO,aqsL0QQaSP4,32
SonySoundtracksVEVO,4WTt69YO2VI,98
SeafretOfficial,3ou8PXfDhFI,1
Asthmatic Kitty Records,JTeKpWp8Psw,135
Dayglow,hh1WeQxfCX0,4
cityofthesun,DdaqFwuaY0g,2
Charli XCX ,kiMCMYKbFuM,1
The Wallflowers ,yjbzUEJONNU,2
Ratatat ,8y8pDfdrEzU,1
Futurecop! ,71bkRlzIVf4,1
Bahamas ,wNcz5AagtaU,6
New Mind,y4mUMZ5SPFE,1
Chris Isaak ,oadhHk2xs6c,1
Winter Aid ,o-BbeLmOAYE,1
Sugar Plant ,sXaP6mzUlXA,1
bonjr ,dm87PN-fTlg,1
BillieEilishVEVO,EgBJmlPo8Xw,26
King Princess,LNxWTS25Tbk,36
Pavo Pavo ,4km3mjvFJrs,1
Lord Huron,wGF7PswOENQ,10
BBC Radio 1,fZB-ptAnoQc,8
The Marías,3moMHMhiq7c,112
Puma Blue,OeCS-DZsgKM,1
Heist or Hit,ZoYOJ_2F5Jg,6
The Kooks ,sdJACpq7jnk,6
The Diogenes Club ,iy3A6z_4ZEo,23
Majical Cloudz ,EsDPEaUVtzc,1
Benjamin Francis Leftwich ,-T9rfhQSkRo,1
Ex:Re ,JO_3q_gAUbc,1
jubert,KqyzRp378DI,1
The Lighthouse And The Whaler ,pjpZnvnveeE,2
Royal Blood ,QZ8fVptnWIY,2
Des Rocs ,mHN0_cYUibE,1
Circa Waves ,4nvog47oSeA,3
The Kents ,zdzHtchc7n0,1
Mansionair ,c9WJFdwh5Qg,3
The Lumineers ,BG05dUhFeKM,2
Her's,8gnSgWRCV1A,1
LOW HUM,JRLFr6THaTI,31
Goth Babe ,t5T6xaW4UcM,3
Sampson ,EDRtt95Od2M,1
Car Seat Headrest ,RnMq7kX_bmU,6
PhoebeBridgersVEVO,Tw0zYd0eIlk,68
Phoebe Bridgers,1u8rIx65QgA,33
Labrinth,03nR6eWanXs,1
Italians Do It Better Music,pfjDNCQQaFU,1
The xx,yoj2I6ZJLx8,2
SiaVEVO,KWZGAExj-es,20
Hildur Guðnadóttir ,8xxl0_qW9kk,8
slenderbodies ,NNuupI2xtf4,3
Sevdaliza ,ZuSLeUvAZEo,1
Chet Faker ,LnhhinlkZt8,7
Yellow House ,f7MMNHRWoJU,1
Zola Blood ,OxLnVN7mW6Q,2
Phoria ,LVibt_WcF6Q,2
Abi Ocia ,6Wsv7rE4Jdc,1
Zack Hemsey ,pQGPEEKRrUI,6
thestrokesVEVO,2KSpDNlsVF4,6
BLOW ,p0epqR6lTEI,1
Ice Cream Boy ,s39yd4jrYZ4,1
Youth Lagoon ,XCnuLttRKaU,1
Haley Reinhart ,5utgkpWjSGA,1
ZaynVEVO,tt2k8PGm-TI,5
TenderVEVO,iPdJM_7CgU8,2
Flower Face ,wuyHXD8qaB0,4
NewDad ,9fhuY4UEYpE,1
Childish Gambino ,H_HkRMOwwGo,4
Atlas Genius ,Ldnh1HLrlJQ,1
Teenanger ,X41U6T4FBeU,9
Vacations ,v_IhB3VkJdA,2
Balthazar ,wo0Urr7hr0Q,46
Isaac Delusion ,YBrirDz0Ww8,30
Furns ,J5vuoAfkk98,31
Gloria Laing ,ZeHwynUVxBw,5
Peter Bjorn and John ,tUsH87zLvAg,1
Weezer ,beX-9wW5rL0,1
Arcade Fire ,D1r9_zdygpw,1
Chelou ,7zTdyrrKKzo,4
Boy & Bear ,lhdCvat2E6E,1
The Temper Trap ,wmFTYyBM2-I,1
Dope Lemon ,n5FLvnK0kBk,1
The Lumineers,UJWk_KNbDHo,8
Otemma ,Hw86w3atcP4,1
Local Natives ,4BQ8_gYIY8s,17
Flora Cash ,Vey3A4FMc_4,1
Fake Laugh,Spf8aiEs7-E,1
LeonBrattMusic,vsEIvc1LkpI,1
Poolside,suWbFPaVoEA,1
Julien Baker ,hZlR6DjehDc,76
Vance Joy ,MsTWpbR_TVE,9
Christina Perri ,TA1W-pHNKl8,1
Lisa Mitchell ,er6aYDNEI0k,3
Sharon Van Etten ,ao7vn5dTfDU,5
Slow Hands ,wRsifVOjiQw,6
Angel Olsen ,HJS8sJFDSOg,5
Tennis ,do0vqmZBOnQ,4
Hazel English ,3gzG5pwHYGE,3
Warhaus ,H7v8agN4m0Q,2
Holy Hive ,I5ayoRi1Lpg,2
NPR Music,wp7qctyVU2s,8
The Virginia Valley ,609Jlr3lv9Q,10
Kid Francescoli ,_ytL_BwtrY4,27
Bad Bad Hats ,UwUo119m1cg,1
Old Sea Brigade ,URzutay8DeQ,1
Orla Gartland ,nhcDv6v6BjU,10
Yumi Zouma ,TlX_GL68RQw,8
Hatchie ,_brxedWxqCo,1
José González ,XOA8ooyxKJA,1
T. Evann ,o2yOkbfTLkI,1
alt-J ,rGiirjRjrdk,2
Amason ,_8zhyvo-c0E,5
Massive Attack ,5taWjLgI8w0,2
Albert Ryan ,xwhY42MYdL0,2
Papooz ,Xn6E6GxU0vU,29
The Irons ,ZxUwBFGeIWM,1
CLAVVS ,EEMn_Dfj1PY,5
Beach Fossils ,noV5ERlN-_Q,2
3v3v3 ,94sS89PqbLE,2
Satchy ,EwhDrgww_Q8,5
Sasha & The Valentines ,elxoPXkDGC0,1
Nadia Reid ,XZycPvPBqqc,1
Methyl Ethel ,sVat0IiEjbw,1
Poni Hoax ,0lNP2e0Sm9A,1
Daffodils ,ZZavTyqNbUQ,1
Taylor Swift ,ooK9GNSt1b8,1
Ameliarose ,qGVs1eZo1o8,1
Fredrika Stahl ,ApfujQpchr0,1
Slow Pulp ,Dj77u3n0w5U,1
Dntel ,jQtRyCmoK5w,1
iamAURORAVEVO,SYKU7DfEJT4,137
Morcheeba ,YHxtuwyC_Xk,1
Wildlight ,ZwViC8_Iluc,1
Flunk ,9Zvz6fgVFtM,1
OhWonderMusicVEVO,zLAhRiUeJ8E,36
mia grace music,KSIHyLS1giI,2
Lianne La Havas ,7vVpe8qFWPA,1
Sleepsk8 ,CmGRmi7geY0,1
Eric Ryan ,hVbZegPuRoU,1
Røze ,mkYIKhV8PQ8,5
MOSSS ,UP_U-h_6eUY,3
Moderat ,6Ha30N8sVJE,1
The Dø ,je_t9LDXjps,4
Deb Talan ,LdtLtgWmrYU,1
Mirah ,MzrPOHHbkQY,1
Meiko ,pt6kaC4NhUA,1
Kommode ,OKXKWDvHSQM,7
Doe Paoro ,k7jRbGUSjJs,1
Blackbird Blackbird ,GsYv-gcReCM,1
Suzanne Vega ,7rj9WFmBJVo,1
Hayley Kiyoko ,_NrYVcog5YQ,1
ConfidenceManVEVO,XQGwjhDANVA,25
Macy Gray ,IOQYpLjL13w,1
Night Tapes ,t3T9kdNeUSE,3
Borneland & Falcon Punch ,x7wyAQcMV6M,1
Jaguar Sun ,OVUXpaEDTv8,3
Münechild ,paEL56RnMxc,4
sir Was ,YqsbeMx_YKE,1
Low & Behold ,oi0UlkbS6GE,1
Zimmer ,mdoWKea1ctY,2
Emi Choi ,X54J-L01VdA,1
Goldfrapp ,zqabmoUbbNA,1
Aldous Harding ,Ws3XVUlKXQ4,1
Tessa Violet ,oSSZA8Kje3s,4
Time Records,YnopHCL1Jk8,1
Djo ,g4etzBUeUT8,1
Nice Guys,1hrUaOrIQR4,10
Johnny Balik ,zfTzIoAqjis,4
GrimesVEVO,JtH68PJIQLE,9
HAIM ,Vv8UGTRor7I,6
Hubbabubbaklubb ,UHxsG5ijQrU,3
Nankoo ,gEuxQWqAlNs,1
Wye Oak ,gSQtPVqoclg,1
Sinkane ,33YQKOOTZMQ,3
Husbands ,-8GGJc3Bee4,1
Puma Blue ,_Jh54sLPCmg,4
The Weeknd,ygTZZpVkmKg,23
TravisScottVEVO,iYKXdt0LRs8,4
Carlo Whale ,Zb_rR7wj2AM,1
Surfaces ,rmEfDzI77lU,31
Zola Courtney ,jmrytaLGw5w,5
Green Light Music,gahMcYZqJXU,1
Pale Waves ,_IECC_g1Vsc,30
CHVRCHES ,opcBX0YcneY,12
Sigrid ,lkOzHXGv6AE,1
Two Door Cinema Club ,NZ_ThvmdQ9s,5
Clean Bandit ,dHdMAdh4Xgc,1
Ladyhawke ,1V9q5UpcFsE,1
The Killers ,DOfiCemXPEs,9
Benedict ,IlXJTUSzk30,1
Hellsongs ,Uy1i3UoxeYg,4
Florence + the Machine ,DJu-m6piK4s,11
Maggie Rogers ,MerfzFYkx2o,2
Foley ,sRMxHMeU9Zk,1
Francis and the Lights ,l0A4A17l5dQ,1
Fickle Friends ,hnu8ON1tYrQ,1
HaimVEVO,AIjVpRAXK18,8
Birdy,m8AXUq5uA0Y,85
KTEE ,wAOrGjwgTIQ,1
Mark Ronson ,w1vrrNUiN9c,1
Hawai ,0ySSL-NnwzU,1
The Nice Nice ,SNVIYjKGhNE,2
Neanticønes ,G3b69BbmIY8,2
Interpol ,ykYMLQqD2kY,6
King Gizzard & the Lizard Wizard ,oXZiq00i5vA,7
Of Monsters And Men ,gSdjztTxYgk,5
dodieVEVO,8rhb5wTCero,115
PAPOOZ,R0q4U668L3E,3
TOPS ,dCZ42u4tAtk,2
Lovepoint ,Qnj4XXqLHL4,1
STVN ,_drQKCOErG8,1
Joshua Benjamin ,8ezRj4dvs2g,1
The Millennial Club ,CvBJkTyVokw,1
LEISURE ,plUXpMKDt5s,4
Meego ,X1bqvjlpSzo,1
Grapell ,-MhoZeFwLCg,1
Client Liaison ,3JhTDBwS0YA,1
Pollyn ,Y2XaPyVNHJA,1
Rotkraft ,WdekynqsdYo,1
Amber Run ,0bSaXVaPmds,1
LIZ B ,CO2U-r_4_6I,1
