Artist,Link,Total
MichaelKiwanukaVEVO,nOubjLM9Cbc,4
Will Young ,T-3OKio4IFg,2
Bob Moses,hyAoQAzwX5g,11
DarkViperAU Clips,1ozhwBu5cGI,1
Bilal Göregen,maKHf7uY5uk,2
Run For Cover Records,fsgHoOq7NuA,1
ChainsmokersVEVO,0zGcUoRlhmw,8
justintimberlakeVEVO,uuZE_IRwLNI,4
Mild Orange,RrIV6tnuQG0,1
London Grammar,pkeDBwsIaZw,14
TaylorSwiftVEVO,IdneKLhsWOQ,8
ToveLoVEVO,oh2LWWORoiM,2
OBA'G Houses Won't Understand,oJeode5M5SA,2
Long Music Official,4DrC4PShl-M,1
ChetFakerVEVO,hi4pzKvuEQM,4
KanyeWestVEVO,Bm5iA4Zupek,1
Apple Music,S44AQ7Rnt8Y,1
Rod Stewart,zQ41hqlV0Kk,1
Music Life,zJbltNanBIk,1
Marshmello,ePao0cTGG-o,1
CageTheElephantVEVO,opeETnB8m8w,40
OfMonstersAndMenVEVO,ghb6eDopW8I,15
Rick Astley,dQw4w9WgXcQ,4
TotoVEVO,FTQbiNvZqaY,1
KygoMusic,BgfcToAjfdc,1
Route94VEVO,BS46C2z5lVE,1
Robin Schulz,bvC_0foemLY,2
KieszaVEVO,Vnoz5uBEWOA,1
NFVEVO,6WcxRWufzus,13
Twin Cabins ,bqSnxyQje5M,8
STEEZYASFUCK,mPymRFeTJa4,2
UMOVEVO,IJrKlSkxRHA,7
Summer Salt,5oNqaRLDOi0,16
JungleVEVO,7nJRGARveVc,66
Grimes ,G91IsO_CsDs,2
Sufjan Stevens,wX8vpzU_i_c,6
Julien Baker,bWAOkg2i6_g,1
Helena Deland ,oFcV71fJbSA,1
Dreams We've Had Official,jUKmKr8nk3c,1
Joy Again ,FxEOUzdpieU,1
beabadoobeeVEVO,sTQNJT7OZew,6
Sports,Y_hdQXQfsNg,1
mushroomvideos,uJ_1HMAGb4k,5
BobMosesVEVO,cRSqM-67EiE,122
LumineersVEVO,tXsQJhoauxc,25
Modular YouTube,KQH2Kq1QXaI,2
BroodsVEVO,0U48jwC8cZU,86
CircaWavesVEVO,Bv12KhnJomc,1
andrewbirdVEVO,EvSN6AU__ZQ,1
AlfieTemplemanVEVO,sVCWlT2EAcg,1
CannonsVEVO,u4HQevc9JE0,1
CutWormsVEVO,JpAL8zMcBxw,1
KidBloomVEVO,BCdXcVsfdnc,1
Fleet Foxes,L2E2DpWO3-Y,1
Yu chien Wang,Od-iPNJG9ho,5
HozierVEVO,EWLqdAJbu0A,108
HazelEnglishVEVO,n1jqDi2nmF4,1
Music Machina,YHTg8P2uKZQ,2
Audiotree,hfdWUg4GwgM,1
Day Wave ,lqIbQPrXT64,1
MansionairVEVO,miC82O_a5GI,83
Soulection,OCiuDkRVMdM,1
RagnBoneManVEVO,L3wKzyIN1yk,2
BeeGeesVEVO,fNFzfwLM72c,1
billyjoelVEVO,gxEPV4kolz0,1
88rising,RrtkU7i0qD8,5
MattBerningerVEVO,jmGhtIOBlhI,1
Two Door Cinema Club,RrJZJtY6u7o,42
Stereo Honey ,APy3tpO7XJQ,29
Octavian ,02tN3Ts3Pw4,6
favelamarek,_WH8p-rRZrE,226
Petal ,WApC_Cc1w4Y,1
Mindy Gledhill ,k_EQ0jse7xc,1
Claire Parsons ,t0HVDtIDkl4,1
Mike Gordon ,jPTGvl5Ebqg,1
The Psychedelic Furs ,R4nXxOk4NgI,7
Miniature Tigers ,1xRYiBXt66c,1
The Codas ,FkUsQcyuksc,1
Jérôme 50 ,MXMmgv6pfd0,1
White Hinterland ,rleb3Syj_nA,1
JAWNY,Wgw6tJ8yz9M,5
BlossomsVEVO,WBtVjjLtEY8,13
michael seyer,_zUW0lebtYg,3
FirstAidKitVEVO,bDdXe51yphI,5
BombayBicycleVEVO,vglxk3JbHnQ,1
"Joe ""Bean"" Esposito ",KKYBugzHH2c,2
Gus Johnson,NR98SmoCN0o,1
Fat Possum Records,kXPyZqfIces,1
KaceyMusgravesVEVO,U5oIvfraRrU,63
PsychedelicFursVEVO,LGD9i718kBU,18
RatsRecords,8HnLRrQ3RS4,2
The 1975 ,STbSEQ5LpJg,2
Michael Sembello ,6GCNUeTFSbA,2
nat natir,6jOokMEceR4,1
TLSPVEVO,s8LtrwbEUow,15
DeclanMcKennaVEVO,QHgh77iE6qc,6
MarikaHackmanVEVO,FyVBFCmTuUM,1
NBTVEVO,rjAiojfJMxs,202
WaronDrugsVEVO,vkLOg252KRE,1
AngelOlsenVEVO,nleRCBhLr3k,1
The1975VEVO,1K93ioXL63c,36
Dream Theater,dRBP1rpE5y8,1
JacobCollierVEVO,2qUCyW7ewPs,1
TheAvalanchesVEVO,eu0KsZ_MVBc,2
BOCCVEVO,UXzReYLuavg,1
KamasiWashington,S8rzewm2hhE,1
LoyleCarnerVEVO,1GmuDka6pbk,1
groenlandrecords,My4j3vgFxbE,2
Wallows,wIgmyE5Juzw,1
KeaneVEVO,Zx4Hjq6KwO0,1
Moonchild,1eDvtvdoxJE,3
cavetown,c_jWpZ6XDIc,2
IDKHOWVEVO,hXzPxBhhmY8,1
videojuegosobt,vf0WbeOXRyY,2
OrlaGartlandVEVO,M60ssROU_u0,48
Catherine Feeny ,_XydiU33Hco,1
girl in red,3xeAK9A8SOI,1
mgmtmusic,ABtQrFn7zQs,1
MGMTVEVO,fe4EK4HSPkI,2
PassionPitVEVO,DiEwJTOderQ,5
musich3ad,Fn7FXGaHTNs,7
Niki and the Dove ,z2LDLWtCLUY,1
SashaSloanVEVO,T37QFDQak9M,92
Sasha Alex Sloan ,P6en_tphT9I,43
Ethan Gruska,_eNumVa7H1s,2
Shamoon Ismail,invIrTznA38,2
Sasha Alex Sloan,TJaTyD2tLno,10
Music Lounge,cCWcGiVD-78,1
Miami Nights 1984 ,ND-4SmGaGyU,4
NikiAndTheDoveVEVO,eHuci2LUHPA,1
Twin Shadow,JFiDnErxU_A,2
Wavves ,w4oSOCuHqVs,2
DJ Mehdi ,Y0OYcBM2a3o,1
Oh No ,w4sT7sHMeCw,1
Tei Shi ,Mh0FmoQ_rHM,1
J. Cole,MxiSSSa5K2s,2
KygoOfficialVEVO,u3VTKvdAuIY,56
Marion Band$ ,TVJrVodMbm8,1
Lifelike ,1UyPrfpVzh8,3
SYML,geaySHvw5iU,10
thepaperkitesband,gkQFP1rG7wg,1
The Midnight,zZ0zPbh1QHE,3
Winona Oak,RbGuRZlrMMk,4
ChildishGambinoVEVO,F1B9Fk_SgI0,6
EGO TV,gvpnEHP70N0,1
MOMOMOYOUTHVEVO,qM5tNSHScY4,1
Red Hot Chili Peppers,Q0oIoR9mLwc,44
BBC Music,Nrq7pU6Sh3o,3
NoMeAtVEVO,L1u6DViEx48,14
RuelVEVO,r90FuOuqE60,1
Child of the Parish,qLmr3OLOqK0,15
CYNVEVO,-MZgtCp8mtc,2
Chelsea Cutler,1WKmEqju3t0,1
JeremyZuckerVEVO,uKxWP56VStM,4
Jaymes Young,scd-uNNxgrU,2
FINNEAS,3mMVcCMO_Ng,1
Ben Platt,aDeNQNtW1f8,1
Tommy Boy,KRIc_EjwMp8,1
Fleurie ,t87ZqaldRqs,2
Jess Benko ,RwISVSxhjTc,1
Jeremy Zucker ,IMwpwzMc2gw,1
Troye Sivan ,5ep_ej77h8s,1
SigridVEVO,cIriwVhRPVA,5
Kodaline ,3AUtk1wJJBc,7
STREAM MUSIC,20H2E7AcIDs,1
LogicVEVO,Kb24RrHIbFk,2
LANYVEVO,SEZrMORa4uk,4
Lauv,c_10qS7amjk,3
StellaDonnellyVEVO,KLVzHv9Nrng,1
Stella Donnelly ,a_RLVGi9BIw,2
AnotherSkyVEVO,YmOFafc0Z6o,31
OwlCityVEVO,psuRGfAaju4,2
HarryStylesVEVO,Pi2Gy7DG75g,8
Ultra Music,zK1mLIeXwsQ,37
CAR ASTOR,y5V1wmcdyrM,1
PomplamooseMusic,4TKcz5AqcnQ,7
EtienneDeCrecyVEVO,rhqQNEnSpkc,1
PictureThisVEVO,ySWx2dwNfNY,1
Bugzy Malone,7gKgb_Hhmao,29
BeckVEVO,Tj08Ni3tklw,17
Paramore ,Kxyy8NtfBDE,1
Paramore,u3IAybZOt-E,20
AlexDeAustria,lNlpJM72T-E,1
ArcadeFireVEVO,dHC6I7v-1Pc,1
Marcus Marr,Lu8SoNlT9sU,1
WolfAliceVEVO,WqxE-zppu30,2
Amy Shark,Y-IoluTnuKs,1
HalseyVEVO,JGulAZnnTKA,5
Noir / Noir Music (Official),7bMYhJ_UqnE,1
Hayley Kiyoko,TV-_Yuc228s,2
Lukas Graham,dN44xpHjNxE,2
BØRNSmusicVEVO,pLBmqwA4AGc,11
TLATWVEVO,HftYxYc6auU,1
NoWyldVEVO,kGIgqwv7dxQ,14
Broods ,w1SRTGNqNyQ,4
Portugal. The Man,Hha0bwVvGmY,59
The Last Shadow Puppets,IamcaGta7hY,2
SUN SILVA ,-aJ8X_4WR7A,36
Beck ,0ZJ9PNtmRCs,1
Maroon5VEVO,NmugSMBh_iI,11
BROODS,7T40dW3_bG0,19
VevoDSCVR,tAAl3HV-0t0,6
RihannaVEVO,JF8BRvqGCNs,1
FlorenceMachineVEVO,5GHXEGz3PJg,1
TheKooksVEVO,3tUh-x-fp8Q,2
ChelouVEVO,BgP9tzt9_Z8,1
Vance Joy,zKmWd8DPrEc,3
Mad Decent,OI3shBXlqsw,1
Bryce Vine,kudi8OtMu9s,7
RosaliaVEVO,2j3x0VYnehg,1
Domino Recording Co.,9cQloro92xA,14
TomWalkerVEVO,fS0SyW980YI,70
KingPrincessVEVO,_yZo2bclxG8,2
Saint Motel,IyVPyKrx0Xo,22
MaggieRogersVEVO,NgWC5oEuyjU,1
TheBigMoonVEVO,1OijD72t4XY,2
Janelle Monáe,tGRzz0oqgUE,1
ConanGrayVEVO,-E-_IRJU5w0,2
lovelythebandVEVO,qr1-WpWOUk8,4
ZellaDayVEVO,MhRXOOc_p-0,1
Miike Snow,P_SlAzsXa7E,9
KojeyRadicalVEVO,J_lY8z2l_8E,4
BasVEVO,OA8aw07dpg0,1
ChvrchesVEVO,_mTRvJ9fugM,38
BenHowardVEVO,ADP65wbBUpc,1
Diplo,ah-ldSwF5hg,1
Holly Humberstone,ILPo-HdvfHA,2
BantuVEVO,OEb7Rh-yknQ,6
Adam Levine ,5U-JroWwFkw,2
DermotKennedyVEVO,oK9wqtAwnoE,220
Kodaline,vhCEaGWTu10,2
Billie Eilish,viimfQi_pUw,1
TV Series & Movie Soundtrack 2,_OO_B1zkilA,1
Bugzy Malone ,52gffuo3hes,1
AmerieVEVO,bbqVg_23otg,1
RiseAgainstVEVO,BblV6AQsd2s,1
AFIVEVO,BguZZ3rGKe0,1
JimmyEatWorldVEVO,oKsxPW6i3pM,1
KasabianVEVO,Jf3CPnDMVz0,13
DaughterVEVO,FZCZG5pwQGk,2
YearsAndYearsVEVO,hXTAn4ELEwM,21
Sam Fender,L12ORqw6R7A,56
David Byrne,5IsSpAOD6K8,1
MassiveAttackVEVO,ZWmrfgj0MZI,2
Absofacto,xe2FPP4lX14,1
SigmaVEVO,Ec92Wa8zJs8,1
alt-J,dCCXq9QB-dQ,2
WhamVEVO,bwNV7TAWN3M,2
SmashMouthVEVO,L_jWHffIx5E,1
Fontaines DC,jLNt8aMNbvY,1
leandroxcx,ao_7PoVDrlQ,1
The Wombats,9MHmx9nvHqU,34
Epic Mountain ,mPhp9TOX3Eo,1
Epic Mountain Music,PgAxibDmN_E,3
True Music LT,C3ahuBmdvDk,1
WalkingOnCarsVEVO,w5h4yJ-BpL4,8
ENPI music,nRNqxjOmdVA,1
Creators,lAwYodrBr2Q,5
LewisCapaldiVEVO,m8rM7Tox1HE,32
Gabrielle Aplin VEVO,8mVbdjec0pA,1
Ed Sheeran,UAWcs5H-qgQ,5
Swimming Girls ,kUpQhSMdRGc,2
KendrickLamarVEVO,JQbjS0_ZfJ0,2
JarrydJamesVEVO,rHfOcoTzSU4,1
TheKillersVEVO,X4YK-DEkvcw,2
Tom Grennan ,B-d_cJOj4S4,4
BastilleVEVO,VgXOPeobPcI,9
BBCRadio1VEVO,EgJeEgJ5KdY,1
MarenMorrisVEVO,Zmxfd3Z_wBA,9
Halsey ,DlaVY_S75CM,3
James Bay ,k8OXKvCZkAw,8
Dean Lewis ,USHn2FnZk40,6
Snow Patrol ,cds3Vdlgdzs,1
Catfish And The Bottlemen ,IqdpEUeLNG8,2
JamesAVEVO,0yW7w8F2TVA,3
GeorgeEzraVEVO,v_B3qkp4nO4,6
Matthew Wilder ,UhLDA4Wr2GU,1
Maren Morris ,6Wl_wlyfU-I,3
Paul Simon ,OMbfT3Wppjo,1
Cocteau Twins ,H5tNPAN8qkA,3
Talking Heads ,fsccjsW8bSY,1
Dustin Lynch ,EOJzKFnou4c,1
Mogwai ,CK1zCi0z_Hk,1
Jordan Davis ,k7wi3YKvmmc,1
Sam Hunt ,dh8YwWlSrNY,1
Fort Atlantic,kBqWtdMpies,1
Jad Farah,VszGNw6NYHs,1
David Bowie,lXgkuM2NhYI,1
modernemanmusic,wx6LVCsW2_o,1
U2 ,an2qAO8Spno,1
David Bowie ,R5n0nfZ_9kg,1
Fleurie,nZcf3oXfz5k,2
FreyaRidingsVEVO,H-3rxh8kZHE,14
The Coronas,P0x8lvM5MvI,3
JamesBayVEVO,mqiH0ZSkM9I,1
Ruelle ,wSacp-aolpo,1
OneRepublic ,XENaP5RkRDY,1
Maisie Peters ,yyfb5fpqP_I,1
Alec Benjamin,50VNCymT-Cs,7
Blanco White ,nb7mIeF_rBw,3
blink182VEVO,K7l5ZeVVoCA,1
StarleyVEVO,I-VsisgVkHw,1
JoeExoticTV,lCgz9915wHw,1
Macklemore LLC,hlVBg7_08n0,2
KodalineVEVO,mtf7hC17IBM,6
DeanLewisVEVO,dKlgCk3IGBg,3
NiallHoranVEVO,ic1l36GrNOU,1
HeyVioletVEVO,GNtIvGrqAZE,2
NakedFamousVEVO,kC29pd_5sQU,6
The Regrettes,r0CD4dVYAEY,4
AviciiOfficialVEVO,UtF6Jej8yb4,2
Melanie Martinez ,lbvhe_zKxNM,1
Musicsketches,KadcTafkJL0,1
Armada Music,VjHMDlAPMUw,8
AlexClareVEVO,zP50Ewh31E4,1
HurtsVEVO,SzE3kNUWA9s,43
Poets of the Fall (Official),MKk1u5RMTn4,12
Love Fame Tragedy,r6_qkQSRCFM,10
Young Werter,2nU6TocCjfg,11
JonasBlueVEVO,btrzs54s1Rc,4
thewantedVEVO,yMR382aefmQ,9
StereophonicsVEVO,b3cZqWoqweU,4
EllieGouldingVEVO,0NKUpo_xKyQ,9
HAEVN MUSIC,hj0TG-bwUYk,1
carrieunderwoodVEVO,pJgoHgpsb9I,2
Inspiring Piano by Annellie,bxrgaYFGyRk,1
LIL UZI VERT,yUAF0nKN0Ck,1
REVIGOR,7NEYAP2t9FQ,1
The War On Drugs,J9LgHNf2Qy0,1
FiftyShadesVEVO,RQUuqbzQVsY,10
LostFrequenciesVEVO,YaH0jYYwHxs,4
Konstantin Gordeev,dWIXUxmN1vQ,1
Bazzi,Uk1hv6h7O1Y,2
Lost Frequencies,4t6rQDxJwno,1
JPCooperVEVO,5Z0EWqe6cLM,2
The Griswolds,3G5F4QDoIXo,11
Stereophonics Official,taNFAiK6Dxs,2
SamFenderVEVO,mx_A6SbU8pY,32
Milky Chance Official,81FeO35TYqQ,4
Divo Music,w0nyEoXBEiA,1
Sony Music South,gjnrtCKZqYg,2
Young the Giant,UAsTlnjvetI,36
Lie Likes Music,1FPkz0m2WOs,1
Linkin Park,dxytyRy-O1k,7
PaperRouteVEVO,K87MK1Fh43Y,6
Anne-Marie,qqob4D3BoZc,3
SofiaCarsonVEVO,OoCng0VYTi0,1
GEazyMusicVEVO,SA7AIQw-7Ms,5
smallpoolsVEVO,e8xni3EcIbc,7
Judah & the Lion,pVLAe6A9bI8,5
SirSlyVEVO,qIOaU7Sm-ZE,23
GlassAnimalsVEVO,_ZdsmLgCVdU,18
BartowskiSpecial,-98TM2pMcug,1
brokenbellsVEVO,uhBewKu80Mg,14
Dua Lipa,1nydxbGhgv8,1
NickJonasVEVO,XgJFqVvb2Ws,5
FIFA Players,XmzjIDRIhY0,31
Years & Years ,Ep_u3SaKc9s,1
AdamLambertVEVO,X1Fqn9du7xo,1
PinkVEVO,OpQFFLBMEPI,1
AmericanAuthorsVEVO,Y66j_BUCBMY,1
Rita Ora,ksdAs4LBRq8,1
MNDRVEVO,QNhhdmDWcJ0,8
tovestyrkeVEVO,bGSNZ7QAoK4,21
halfaliveVEVO,2x5Qpk3ZNYU,3
FutureVEVO,l0U7SxXHkPY,1
SamSmithVEVO,HaMq2nn5ac0,47
Galantis,5XR7naZ_zZA,8
Kovic,dYdkHkbPvak,1
Voka Gentle ,LEZ9f7SJCTA,3
BackstreetBoysVEVO,4fndeDfaWCg,2
Courtney Barnett ,HzzatW40fik,2
JustinBieberVEVO,kffacxfA7G4,1
JonBellionVEVO,AXnqkVTFUqY,1
SonyMusicSouthVEVO,PAhTLB1LBR0,7
Wunderbar Studios,4bZ-MAOLbGc,1
Crystal Fighters ,SoZq39YjbMc,1
Atomic Drum Assembly ,O6vsuATUgQk,7
huskyloopsVEVO,xxr5wlGHAJk,9
HeartsAndColorsVEVO,KZIyyb6z-CY,1
No/Me ,OtG_6PpuS3E,1
Jungle4eva,SetClFl10cQ,3
SuperDuperKyle,5XK4v2fgMPU,1
SuziWuVEVO,KWMtY5bSSeg,2
DennisLloydVEVO,lhGl9D514Bc,1
LaoRaVEVO,FGzIAaR0V_s,2
half·alive ,zuDm4rXxGAA,1
ColouringVEVO,89h5hIt6H0g,1
CutCopyVEVO,Pu5SNyN2nj4,1
MikePosnerVEVO,foE1mO2yM04,1
Keightley8,7AYtfNgnRxI,13
SharonVanEttenVEVO,gC9GyTAuk8s,1
IDER ,mXoPCK2GqfY,1
Doğukan San,hqbS7O9qIXE,1
EasyLifeVEVO,oeFq3Sta6bY,4
Subtv Music,XIgPBJbJQe4,2
VampireWeekendVEVO,yfGEq0JWxGM,1
twenty one pilots,eJnQBXmZ7Ek,2
J. Cole ,ii6u1wSAu90,2
AriLennoxVEVO,FFuZ2avoYmw,1
JacobBanksVEVO,57YOevCrFrQ,1
EyezVEVO,0AXhLFMe-Ow,5
JBTV Music Television,mgQD4uvNMnQ,1
Miike Snow ,Vlfcqw_zEhU,2
711Tactical,m3zvVGJrTP8,4
Senatore_23,uF6IIp6YMjo,4
Matt Maeson ,-hcAI0g-f5M,1
Clean Bandit,m-M1AtrxztU,2
KALEO,0-7IHOXkiV8,2
SeanPaulVEVO,GzU8KqOY8YA,5
Nothing But Thieves,iryBlLyxEsk,1
MarvelMusicVEVO,F_mhWxOjxp4,2
Jennyni20 (Epic Music),o_Ay_iDRAbc,12
Olympic Ayres,666y56PpwoQ,1
kwabsmusic,TW9uj83Vq-0,1
CapitalCitiesVEVO,47dtFZ8CFo8,2
xman77c,94TAFSMdkvk,5
Underaredsky,72MeeEMDXps,1
JakeBuggVEVO,7ovkBRT1_ac,2
KhalidVEVO,0NChtZCDCsY,1
GalaxyMusic,INLDzdMtHQw,1
DisclosureVEVO,fB63ztKnGvo,3
ChrisBricks,oUUaoWjAppg,1
Film Music Fan,r-XXzX2PAvU,1
Disclosure,93ASUImTedo,1
Alex92,VbIdnMgfb-4,1
GPH Music,c5xA8zU_jQ4,1
Matteo Ferri,cWQluSY36FQ,1
Eloquence Music,ibFOFrp4A8s,7
Synthespian,p935TGVHrzI,2
edgar raul martinez valdes,4TF5_d4R3pI,3
RHINO,KjShkVqz2a4,2
ZEDDVEVO,h--P8HzYZ74,2
MovieMusic,IYF7RB6nsY4,3
DisneyMusicVEVO,CyDh3_b1j9c,1
Jorah the Andal,_ou5tccv2Mw,1
Luis Colina,sUmoMSU9_GQ,1
AlessiaCaraVEVO,UKp2CrfmVfw,8
HaileeSteinfeldVEVO,bMpFmHSgC4Q,1
