Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hLuLUym9HLsgHct3fkT7_Zf,UCleFRYxd-2ZlsDrQpy-1jXw,2021-01-08 02:15:47 UTC,2021-05-16 14:32:16 UTC,My playlist,,Unlisted

Video ID,Time Added
6e3qnMmeApE,2021-02-16 03:17:42 UTC
nBGLRt6ojIM,2021-02-16 03:17:50 UTC
9oCRjFA3JD8,2021-02-16 03:18:22 UTC
pjvQZzkeI_o,2021-02-16 12:42:25 UTC
KJzeFRAbcy8,2021-02-16 12:42:30 UTC
960wzRtcl-Y,2021-02-16 12:42:34 UTC
R5gsaQiIcoE,2021-02-16 12:42:38 UTC
LwkrXybZ1uo,2021-02-16 12:42:46 UTC
Qgd_TRKSWa8,2021-02-16 12:42:49 UTC
B6sWEBIucWk,2021-02-16 14:06:05 UTC
1VM9SsXCMkM,2021-02-17 04:00:24 UTC
K61rG1hxBwA,2021-02-18 02:28:19 UTC
kwxApqwsGE4,2021-02-18 02:29:13 UTC
uUTwmRouPeE,2021-02-18 02:36:49 UTC
NfdO3G4pQzc,2021-02-18 02:37:05 UTC
MPMzKsnCmTc,2021-02-18 02:37:19 UTC
KIxU5caGD6c,2021-02-18 02:41:29 UTC
4YNaaX0-nbI,2021-02-18 02:42:40 UTC
0Mo_jbZtE-Q,2021-02-18 02:42:49 UTC
R_BO8C05XLA,2021-02-18 02:42:54 UTC
eElUM1If3lU,2021-02-18 02:43:00 UTC
M-LB2P_mAos,2021-02-18 02:43:31 UTC
ricvj03PHSU,2021-02-18 02:43:43 UTC
ZtEtKXhhtS4,2021-02-18 02:43:47 UTC
GfiJowcJiVw,2021-02-18 02:44:11 UTC
OIEW5UQ6Fyo,2021-02-18 06:13:06 UTC
zEVzgqga3lo,2021-02-18 12:36:49 UTC
h_W5YwadyRM,2021-02-21 14:41:42 UTC
7dybWlnGHHs,2021-02-21 14:41:52 UTC
OeXx_E8s8TY,2021-02-21 15:06:55 UTC
h14tKoy6VcI,2021-02-21 15:06:59 UTC
SiRJw4f_ufc,2021-02-21 15:20:52 UTC
m_O25dOQpCQ,2021-02-27 16:39:06 UTC
WXiauIxYiCo,2021-03-05 15:08:00 UTC
uXXT7NFR3IA,2021-03-05 15:12:04 UTC
ru0k3Klww-4,2021-03-05 15:12:23 UTC
zroFzv7sFis,2021-02-18 02:42:57 UTC
